Time_seconds,Radiation_counts
2,73
4,66
6,55
8,61
10,68
12,66
14,76
16,65
18,55
20,68
22,66
24,60
26,69
28,82
30,52
32,59
34,52
36,50
38,67
40,65
42,72
44,50
46,67
48,67
50,69
52,57
54,77
56,66
58,81
60,80
62,71
64,62
66,58
68,63
70,73
72,64
74,57
76,61
78,72
80,62
82,59
84,58
86,62
88,64
90,53
92,56
94,67
96,62
98,57
100,56
102,69
104,66
106,64
108,60
110,70
112,59
114,68
116,63
118,66
120,54
122,60
124,66
126,51
128,51
130,52
132,76
134,63
136,58
138,60
140,54
142,67
144,63
146,59
148,67
150,62
152,52
154,54
156,74
158,64
160,70
162,81
164,74
166,54
168,63
170,57
172,68
174,57
176,71
178,59
180,76
182,54
184,87
186,57
188,65
190,71
192,61
194,62
196,72
198,63
200,88
202,61
204,59
206,61
208,67
210,63
212,69
214,62
216,66
218,53
220,61
222,59
224,57
226,69
228,70
230,79
232,83
234,66
236,73
238,55
240,64
242,53
244,57
246,69
248,61
250,47
252,64
254,70
256,66
258,75
260,69
262,58
264,65
266,65
268,72
270,61
272,71
274,73
276,63
278,53
280,62
282,66
284,57
286,63
288,59
290,52
292,78
294,60
296,55
298,67
300,47
302,55
304,62
306,62
308,63
310,69
312,74
314,59
316,63
318,72
320,66
322,57
324,62
326,75
328,58
330,56
332,69
334,76
336,63
338,68
340,51
342,70
344,71
346,59
348,64
350,64
352,49
354,52
356,73
358,71
360,57
362,72
364,61
366,80
368,50
370,55
372,56
374,65
376,61
378,58
380,60
382,78
384,62
386,81
388,51
390,57
392,68
394,58
396,64
398,65
400,60
402,59
404,72
406,57
408,70
410,63
412,62
414,63
416,60
418,62
420,64
422,61
424,72
426,53
428,70
430,59
432,62
434,60
436,73
438,67
440,48
442,69
444,71
446,68
448,78
450,52
452,59
454,66
456,53
458,70
460,57
462,64
464,52
466,59
468,64
470,66
472,65
474,62
476,55
478,70
480,53
482,60
484,66
486,65
488,63
490,72
492,65
494,66
496,74
498,77
500,70
502,68
504,67
506,68
508,63
510,58
512,66
514,55
516,59
518,50
520,53
522,74
524,74
526,68
528,61
530,60
532,55
534,59
536,61
538,66
540,50
542,71
544,64
546,52
548,81
550,64
552,62
554,59
556,60
558,63
560,64
562,67
564,71
566,56
568,54
570,57
572,53
574,73
576,71
578,59
580,68
582,65
584,58
586,59
588,62
590,57
592,63
594,59
596,63
598,63
600,67
602,64
604,60
606,81
608,66
610,62
612,60
614,82
616,61
618,58
620,66
622,81
624,64
626,84
628,60
630,69
632,67
634,53
636,56
638,61
640,69
642,78
644,58
646,71
648,56
650,60
652,75
654,76
656,69
658,72
660,68
662,71
664,64
666,63
668,64
670,64
672,61
674,63
676,59
678,80
680,62
682,61
684,71
686,73
688,47
690,67
692,52
694,57
696,65
698,65
700,69
702,64
704,65
706,66
708,58
710,61
712,66
714,54
716,66
718,68
720,53
722,76
724,73
726,58
728,65
730,64
732,62
734,58
736,65
738,70
740,63
742,58
744,68
746,65
748,58
750,65
752,57
754,56
756,71
758,73
760,64
762,63
764,61
766,47
768,65
770,63
772,75
774,63
776,66
778,81
780,75
782,76
784,49
786,71
788,57
790,71
792,71
794,66
796,71
798,56
800,55
802,64
804,62
806,58
808,62
810,68
812,55
814,64
816,71
818,64
820,74
822,60
824,70
826,64
828,76
830,68
832,79
834,57
836,77
838,57
840,69
842,63
844,65
846,68
848,65
850,64
852,51
854,67
856,70
858,66
860,57
862,52
864,59
866,81
868,71
870,65
872,49
874,60
876,64
878,67
880,72
882,63
884,53
886,78
888,71
890,68
892,56
894,64
896,58
898,67
900,67
902,65
904,71
906,55
908,61
910,66
912,68
914,57
916,74
918,68
920,56
922,66
924,78
926,54
928,66
930,73
932,68
934,74
936,54
938,60
940,52
942,39
944,53
946,52
948,75
950,74
952,53
954,72
956,57
958,67
960,71
962,59
964,57
966,61
968,51
970,62
972,74
974,55
976,69
978,59
980,63
982,58
984,75
986,67
988,70
990,51
992,74
994,65
996,65
998,60
1000,66
